timestamp,id,questions,correct_answers,wrong_answers,unattempted,time_allotted,time_taken,score
Sun Nov 15 17:00:57 2020,test3,20,16,4,0,1800,12.81101418,44
Sun Nov 15 17:03:08 2020,test4,10,10,0,0,18000,6.158231497,10
Sun Nov 15 17:04:21 2020,test5,20.0,20,0,0,1800.0,5.849835395812988,60.0
Sun Nov 15 17:12:49 2020,test6,20.0,16,4,0,1800.0,8.173714399337769,44.0
15/11/20,test7,20.0,15,5,0,1800.0,8.8056321144104,40.0
15/11/20,c,5,5,0,0,60000.0,2.7766592502593994,5.0
15/11/20,test,3,3,0,0,60.0,3.9820666313171387,0.0
15/11/20,test,20,20,0,0,1800.0,6.39612603187561,60.0
15/11/20,test,20,20,0,0,1800.0,6.906702995300293,60.0
16/11/20,"quadratic polynomials, 01",25,10,2,13,2100.0,6178.3899211883545,28.0
